City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
352,Senador Jose Porfirio,BR,79.86,moderate rain,-2.5908,-51.9542,Pousada Novo Horizonte
355,Cartagena,CO,87.42,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
362,Poso,ID,75.7,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
365,Faanui,PF,81.41,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
371,Laem Sing,TH,83.14,broken clouds,12.4816,102.0738,Laemsing Whitehouse Resort
373,Cabinda,AO,78.17,overcast clouds,-5.55,12.2,Hotel Maiombe
375,Joao Camara,BR,76.24,heavy intensity rain,-5.5375,-35.8197,Pousada Miguel Teixeira
377,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
378,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
383,Trelew,AR,80.38,clear sky,-43.249,-65.3051,Hotel Touring Club
393,Sinnamary,GF,76.55,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
395,Maues,BR,79.56,light rain,-3.3836,-57.7186,Hotel Miramar
398,Poum,NC,82.26,moderate rain,-20.2333,164.0167,Gîte kajeon
399,Samarai,PG,80.69,moderate rain,-10.6167,150.6667,Nuli Sapi
400,Maxixe,MZ,75.31,clear sky,-23.8597,35.3472,Oceano
405,Kikwit,CD,75.06,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
412,Cap Malheureux,MU,79.29,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
421,Santo Tomas,PH,77.25,clear sky,14.1079,121.1414,Microtel by Wyndham Batangas
424,Batemans Bay,AU,76.19,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
433,Nueve De Julio,AR,78.71,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
437,Luanda,AO,78.98,broken clouds,-8.8368,13.2343,Hotel Fórum
438,Sorong,ID,80.55,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
439,Mumford,GH,79.81,overcast clouds,5.2618,-0.759,Spanish Villa
442,Juruti,BR,82.65,heavy intensity rain,-2.1522,-56.0922,Hotel Acauã - ORLA
445,Harper,LR,79.95,broken clouds,4.375,-7.7169,Screensaver
446,Itapissuma,BR,82.44,moderate rain,-7.7764,-34.8922,Pousada Cidade Criança
447,Bocas Del Toro,PA,89.08,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
448,Arica,CL,78.35,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
