City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
207,Bengkulu,ID,-3.8004,102.2655,76.48,86,100,2.66,overcast clouds
208,Coihaique,CL,-45.5752,-72.0662,84.15,16,0,5.75,clear sky
209,Aasiaat,GL,68.7098,-52.8699,17.78,61,100,21.68,overcast clouds
210,Castro,BR,-24.7911,-50.0119,61.97,99,100,7.29,overcast clouds
211,East London,ZA,-33.0153,27.9116,70.05,79,44,10.78,light rain
212,Dolores,AR,-36.3132,-57.6792,77.92,37,0,7.83,clear sky
213,Deputatskiy,RU,69.3,139.9,-26.09,99,99,2.46,overcast clouds
214,Talas,TR,38.6908,35.5538,-3.33,92,5,4.61,clear sky
215,Srednekolymsk,RU,67.45,153.6833,-13.02,95,100,2.89,overcast clouds
216,Georgetown,MY,5.4112,100.3354,81.9,89,20,2.3,few clouds
217,Novikovo,RU,51.1537,37.8879,32.05,96,100,9.55,snow
218,Ballina,AU,-28.8667,153.5667,73.36,92,75,2.3,broken clouds
219,Isangel,VU,-19.55,169.2667,79.09,86,91,14.94,moderate rain
220,Alzamay,RU,55.5562,98.6644,-12.5,100,98,2.01,overcast clouds
221,Morris,US,40.8334,-74.5329,32.23,80,100,3.0,mist
222,Alofi,NU,-19.0595,-169.9187,84.09,79,75,10.36,broken clouds
223,Riachao Do Jacuipe,BR,-11.8069,-39.3856,79.56,67,84,11.72,moderate rain
224,Tefe,BR,-3.3542,-64.7114,82.51,83,75,6.91,broken clouds
225,Qaanaaq,GL,77.484,-69.3632,-12.89,62,1,8.43,clear sky
226,Tabou,CI,4.423,-7.3528,80.24,80,71,7.61,broken clouds
227,Sanandaj,IR,35.3144,46.9923,23.02,80,20,2.3,few clouds
228,Kununurra,AU,-15.7667,128.7333,78.78,94,75,5.75,broken clouds
229,Najran,SA,17.4924,44.1277,59.65,24,0,3.33,clear sky
230,Kruisfontein,ZA,-34.0033,24.7314,64.89,88,2,7.2,clear sky
231,Birjand,IR,32.8663,59.2211,37.87,28,0,4.61,clear sky
232,Saint-Pierre,RE,-21.3393,55.4781,76.64,78,1,5.75,clear sky
233,Pisco,PE,-13.7,-76.2167,77.05,61,0,18.41,clear sky
234,Biltine,TD,14.5333,20.9167,65.64,15,18,14.18,few clouds
235,Chapais,CA,49.7834,-74.8492,-9.62,89,100,3.47,overcast clouds
236,Kondinskoye,RU,59.6481,67.41,-7.69,100,86,4.29,overcast clouds
237,Benghazi,LY,32.1167,20.0667,57.09,71,69,14.43,broken clouds
238,Trofors,NO,65.5333,13.4063,34.95,95,100,5.32,overcast clouds
239,Beringovskiy,RU,63.05,179.3167,-5.31,95,99,2.82,overcast clouds
240,Meulaboh,ID,4.1363,96.1285,79.02,86,80,2.35,broken clouds
241,Jose De Freitas,BR,-4.7564,-42.5756,83.35,92,100,6.08,light rain
242,Padang,ID,-0.9492,100.3543,76.84,86,85,3.94,overcast clouds
243,Morondava,MG,-20.2833,44.2833,81.28,72,30,7.0,scattered clouds
244,Caravelas,BR,-17.7125,-39.2481,79.11,77,0,9.01,clear sky
245,Muli,MV,2.9167,73.5667,79.93,66,73,11.27,broken clouds
246,Pangkalanbuun,ID,-2.6833,111.6167,74.01,97,100,1.45,moderate rain
247,Coahuayana,MX,18.7333,-103.6833,90.88,43,18,7.63,few clouds
248,College,US,64.8569,-147.8028,6.75,53,100,11.5,light snow
249,Saskylakh,RU,71.9167,114.0833,0.93,89,100,6.04,overcast clouds
250,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,80,31,9.19,scattered clouds
251,Bardiyah,LY,31.7561,25.0865,53.65,76,21,11.7,few clouds
252,Dudinka,RU,69.4058,86.1778,2.62,92,100,20.56,overcast clouds
253,Tambovka,RU,50.0969,128.0489,-14.1,100,22,5.64,few clouds
254,Bonavista,CA,48.6499,-53.1147,27.12,68,100,14.9,overcast clouds
255,Kiunga,PG,-6.1219,141.2906,72.0,99,100,0.83,light rain
256,Partizansk,RU,43.1258,133.1339,7.29,70,71,7.76,broken clouds
257,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,82,75,9.22,broken clouds
258,Cervo,ES,43.6702,-7.4101,50.97,87,6,19.75,clear sky
259,La Ronge,CA,55.1001,-105.2842,7.05,72,100,10.36,overcast clouds
260,Mount Isa,AU,-20.7333,139.5,74.97,100,100,9.22,overcast clouds
261,Acapulco,MX,16.8634,-99.8901,84.02,70,0,8.05,clear sky
262,Atar,MR,20.5169,-13.0499,73.31,20,100,6.4,overcast clouds
263,Hovd,MN,48.0056,91.6419,-10.93,76,14,5.66,few clouds
264,Saldanha,ZA,-33.0117,17.9442,66.25,80,0,23.49,clear sky
265,Lasa,IT,46.6166,10.7002,37.31,76,46,8.3,scattered clouds
266,Saint-Georges,GD,12.0564,-61.7485,82.08,69,20,20.71,few clouds
267,Tarakan,ID,3.3,117.6333,76.55,86,100,5.1,overcast clouds
268,Vila Velha,BR,-20.3297,-40.2925,84.15,80,20,11.99,few clouds
269,Pangai,TO,-19.8,-174.35,83.19,77,81,19.82,light rain
270,Akyab,MM,20.15,92.9,60.84,62,99,13.38,overcast clouds
271,Villazon,BO,-22.0866,-65.5942,64.13,43,71,8.88,broken clouds
272,Haines City,US,28.1142,-81.6179,72.16,66,0,5.01,clear sky
273,Seymchan,RU,62.8833,152.4333,-10.25,93,100,4.18,overcast clouds
274,Basco,PH,20.4487,121.9702,74.23,85,100,28.79,light rain
275,Orange Cove,US,36.6244,-119.3137,68.85,31,100,3.83,overcast clouds
276,Itacare,BR,-14.2775,-38.9967,84.09,79,20,6.55,few clouds
277,Lagoa,PT,39.05,-27.9833,58.21,57,100,13.87,overcast clouds
278,Manicore,BR,-5.8092,-61.3003,79.3,79,100,3.56,overcast clouds
279,Teruel,ES,40.6667,-0.6667,39.16,45,0,1.72,clear sky
280,Batticaloa,LK,7.7102,81.6924,76.89,85,49,3.13,scattered clouds
281,Koraput,IN,18.8167,82.7167,52.99,42,75,2.73,broken clouds
282,Hasaki,JP,35.7333,140.8333,34.2,48,100,8.75,overcast clouds
283,Ambilobe,MG,-13.2,49.05,73.96,91,95,2.53,overcast clouds
284,Kenora,CA,49.8167,-94.4337,9.79,61,40,3.44,scattered clouds
285,Achit,RU,56.7985,57.8994,5.07,97,100,1.9,overcast clouds
286,Ola,RU,59.5833,151.2833,13.73,76,100,17.34,overcast clouds
287,Buturlino,RU,55.5667,44.8974,12.02,97,94,8.1,overcast clouds
288,Bereda,ES,43.2686,-7.5406,46.92,97,29,3.15,scattered clouds
289,Grand Forks,US,47.9417,-97.4337,13.93,76,100,5.75,overcast clouds
290,Faya,SA,18.3851,42.4509,51.91,86,92,3.11,overcast clouds
291,Kroya,ID,-7.6331,109.2461,77.2,87,98,2.68,overcast clouds
292,Monroe,US,43.1501,-77.6831,16.36,78,100,11.5,overcast clouds
293,Salalah,OM,17.0151,54.0924,71.69,78,0,3.44,clear sky
294,Okahandja,NA,-21.9833,16.9167,80.91,37,13,10.16,few clouds
295,Dabakala,CI,8.3667,-4.4333,82.58,20,24,2.93,few clouds
296,Cockburn Town,TC,21.4612,-71.1419,78.76,65,40,8.05,scattered clouds
297,Krasnoselkup,RU,65.7,82.4667,2.39,96,97,11.79,overcast clouds
298,Port Elizabeth,ZA,-33.918,25.5701,67.1,72,40,9.22,scattered clouds
299,Provideniya,RU,64.3833,-173.3,-2.49,99,17,2.66,few clouds
300,Tongren,CN,27.7172,109.1853,32.94,99,100,3.02,snow
301,San Quintin,MX,30.4833,-115.95,67.33,32,96,7.87,overcast clouds
302,Les Cayes,HT,18.2,-73.75,80.2,66,56,7.16,broken clouds
303,Ponta Delgada,PT,37.7333,-25.6667,58.5,88,75,8.05,broken clouds
304,Fomboni,KM,-12.28,43.7425,81.55,69,92,5.14,overcast clouds
305,Flin Flon,CA,54.7682,-101.865,-0.56,78,100,4.61,overcast clouds
306,Gijon,ES,43.5357,-5.6615,49.8,93,7,6.71,clear sky
307,Kavaratti,IN,10.5669,72.642,80.46,73,26,9.8,scattered clouds
308,Iqaluit,CA,63.7506,-68.5145,-13.27,77,100,18.41,light snow
309,Maragogi,BR,-9.0122,-35.2225,80.24,74,99,13.38,moderate rain
310,Goodlettsville,US,36.3231,-86.7133,41.45,52,100,13.69,overcast clouds
311,Beira,MZ,-19.8436,34.8389,80.69,83,0,8.05,clear sky
312,Phan Thiet,VN,10.9333,108.1,71.19,83,95,3.94,overcast clouds
313,Umkomaas,ZA,-30.2067,30.7978,72.59,86,96,16.44,overcast clouds
314,Tucupita,VE,9.0622,-62.051,84.65,49,50,3.44,scattered clouds
315,Teya,RU,60.3778,92.6267,-2.16,99,100,3.44,overcast clouds
316,Zhanjiang,CN,21.2815,110.3427,65.62,88,49,12.75,scattered clouds
317,Kalmunai,LK,7.4167,81.8167,75.04,90,25,5.91,scattered clouds
318,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,67,0,8.05,clear sky
319,Broken Hill,AU,-31.95,141.4333,69.51,83,100,12.66,overcast clouds
320,Santana,BR,-0.0583,-51.1817,78.98,94,100,19.57,mist
321,Shingu,JP,33.7333,135.9833,38.66,75,100,5.73,overcast clouds
322,Casa Grande,US,32.8795,-111.7573,69.6,19,0,11.99,clear sky
323,Lafia,NG,8.4833,8.5167,82.49,18,76,7.94,broken clouds
